billing_id,appointment_id,amount,paid_amount,payment_status,outstanding_balance
89,89,974,974,Paid,0
90,90,650,650,Paid,0
91,91,989,989,Paid,0
92,92,130,76,Partial,54
93,93,598,598,Paid,0
94,94,188,188,Paid,0
95,95,980,980,Paid,0
96,96,412,412,Paid,0
97,97,249,136,Partial,113
98,98,741,0,Unpaid,741
99,99,474,474,Paid,0
100,100,464,464,Paid,0
101,101,853,0,Unpaid,853
102,102,74,74,Paid,0
103,103,284,284,Paid,0
104,104,863,863,Paid,0
105,105,555,555,Paid,0
106,106,553,553,Paid,0
107,107,322,322,Paid,0
108,108,233,233,Paid,0
109,109,756,756,Paid,0
110,110,519,519,Paid,0
111,111,586,586,Paid,0
112,112,727,154,Partial,573
113,113,388,388,Paid,0
114,114,770,158,Partial,612
115,115,110,110,Paid,0
116,116,309,136,Partial,173
117,117,142,142,Paid,0
118,118,845,743,Partial,102
119,119,720,462,Partial,258
120,120,613,613,Paid,0
121,121,94,94,Paid,0
122,122,281,0,Unpaid,281
123,123,833,0,Unpaid,833
124,124,662,662,Paid,0
125,125,542,542,Paid,0
126,126,226,102,Partial,124
127,127,937,937,Paid,0
128,128,87,87,Paid,0
129,129,184,184,Paid,0
130,130,141,141,Paid,0
131,131,649,0,Unpaid,649
132,132,321,321,Paid,0
133,133,681,681,Paid,0
134,134,251,251,Paid,0
135,135,985,985,Paid,0
136,136,330,330,Paid,0
137,137,510,510,Paid,0
138,138,588,588,Paid,0
139,139,835,835,Paid,0
140,140,808,808,Paid,0
141,141,241,241,Paid,0
142,142,171,171,Paid,0
143,143,637,637,Paid,0
144,144,494,494,Paid,0
145,145,108,108,Paid,0
146,146,392,249,Partial,143
147,147,595,595,Paid,0
148,148,652,652,Paid,0
149,149,711,711,Paid,0
150,150,561,561,Paid,0
151,151,302,302,Paid,0
152,152,921,921,Paid,0
153,153,275,0,Unpaid,275
154,154,832,832,Paid,0
155,155,638,638,Paid,0
156,156,943,943,Paid,0
157,157,972,972,Paid,0
158,158,230,230,Paid,0
159,159,319,319,Paid,0
160,160,739,739,Paid,0
161,161,426,426,Paid,0
162,162,474,106,Partial,368
163,163,785,785,Paid,0
164,164,929,929,Paid,0
165,165,748,748,Paid,0
166,166,289,289,Paid,0
167,167,336,336,Paid,0
168,168,769,769,Paid,0
169,169,219,219,Paid,0
170,170,525,75,Partial,450
171,171,425,425,Paid,0
172,172,534,0,Unpaid,534
173,173,906,906,Paid,0
174,174,339,339,Paid,0
175,175,358,0,Unpaid,358
176,176,617,617,Paid,0
177,177,114,114,Paid,0
178,178,984,0,Unpaid,984
179,179,671,671,Paid,0
180,180,758,758,Paid,0
181,181,770,770,Paid,0
182,182,670,0,Unpaid,670
183,183,156,156,Paid,0
184,184,685,177,Partial,508
185,185,236,236,Paid,0
186,186,812,812,Paid,0
187,187,500,500,Paid,0
188,188,130,130,Paid,0
189,189,768,623,Partial,145
190,190,78,0,Unpaid,78
191,191,501,315,Partial,186
192,192,69,0,Unpaid,69
193,193,778,187,Partial,591
194,194,252,51,Partial,201
195,195,624,333,Partial,291
196,196,751,751,Paid,0
197,197,440,124,Partial,316
198,198,959,749,Partial,210
199,199,996,996,Paid,0
200,200,790,790,Paid,0
201,201,518,518,Paid,0
202,202,237,237,Paid,0
203,203,464,464,Paid,0
204,204,783,0,Unpaid,783
205,205,713,713,Paid,0
206,206,397,140,Partial,257
207,207,342,342,Paid,0
208,208,291,291,Paid,0
209,209,969,969,Paid,0
210,210,698,64,Partial,634
211,211,446,446,Paid,0
212,212,732,732,Paid,0
213,213,631,0,Unpaid,631
214,214,137,0,Unpaid,137
215,215,784,784,Paid,0
216,216,207,207,Paid,0
217,217,833,833,Paid,0
218,218,627,0,Unpaid,627
219,219,858,858,Paid,0
220,220,144,144,Paid,0
221,221,607,0,Unpaid,607
222,222,606,606,Paid,0
223,223,691,691,Paid,0
224,224,304,304,Paid,0
225,225,774,774,Paid,0
226,226,563,563,Paid,0
227,227,1000,0,Unpaid,1000
228,228,618,0,Unpaid,618
229,229,216,216,Paid,0
230,230,532,222,Partial,310
231,231,685,685,Paid,0
232,232,105,105,Paid,0
233,233,591,591,Paid,0
234,234,189,189,Paid,0
235,235,489,489,Paid,0
236,236,416,60,Partial,356
237,237,886,886,Paid,0
238,238,541,0,Unpaid,541
239,239,968,968,Paid,0
240,240,343,343,Paid,0
241,241,155,155,Paid,0
242,242,139,139,Paid,0
243,243,324,324,Paid,0
244,244,373,373,Paid,0
245,245,747,407,Partial,340
246,246,390,390,Paid,0
247,247,119,119,Paid,0
248,248,358,358,Paid,0
249,249,369,0,Unpaid,369
250,250,760,760,Paid,0
251,251,603,603,Paid,0
252,252,701,701,Paid,0
253,253,86,86,Paid,0
254,254,70,70,Paid,0
255,255,996,996,Paid,0
256,256,308,308,Paid,0
257,257,434,434,Paid,0
258,258,383,383,Paid,0
259,259,884,884,Paid,0
260,260,380,0,Unpaid,380
261,261,655,655,Paid,0
262,262,738,738,Paid,0
263,263,954,954,Paid,0
264,264,965,965,Paid,0
265,265,953,953,Paid,0
266,266,757,757,Paid,0
267,267,884,884,Paid,0
268,268,271,30,Partial,241
269,269,636,636,Paid,0
270,270,501,501,Paid,0
271,271,799,629,Partial,170
272,272,366,366,Paid,0
273,273,417,417,Paid,0
274,274,596,596,Paid,0
275,275,929,0,Unpaid,929
276,276,903,0,Unpaid,903
277,277,134,134,Paid,0
278,278,883,883,Paid,0
279,279,512,0,Unpaid,512
280,280,472,472,Paid,0
281,281,656,0,Unpaid,656
282,282,500,500,Paid,0
283,283,958,958,Paid,0
284,284,586,0,Unpaid,586
285,285,514,514,Paid,0
286,286,869,869,Paid,0
287,287,658,658,Paid,0
288,288,760,760,Paid,0
289,289,658,658,Paid,0
290,290,492,492,Paid,0
291,291,531,531,Paid,0
292,292,867,867,Paid,0
293,293,420,263,Partial,157
294,294,874,562,Partial,312
295,295,245,245,Paid,0
296,296,425,0,Unpaid,425
297,297,852,601,Partial,251
298,298,56,56,Paid,0
299,299,438,0,Unpaid,438
300,300,746,746,Paid,0
301,301,568,568,Paid,0
302,302,313,313,Paid,0
303,303,683,683,Paid,0
304,304,857,857,Paid,0
305,305,53,53,Paid,0
306,306,802,582,Partial,220
307,307,629,629,Paid,0
308,308,865,348,Partial,517
309,309,390,390,Paid,0
310,310,91,0,Unpaid,91
311,311,71,71,Paid,0
312,312,744,744,Paid,0
313,313,749,749,Paid,0
314,314,469,469,Paid,0
315,315,878,87,Partial,791
316,316,210,99,Partial,111
317,317,269,269,Paid,0
318,318,841,841,Paid,0
319,319,207,46,Partial,161
320,320,432,142,Partial,290
321,321,99,0,Unpaid,99
322,322,968,968,Paid,0
323,323,630,315,Partial,315
324,324,140,140,Paid,0
325,325,998,998,Paid,0
326,326,193,193,Paid,0
327,327,855,855,Paid,0
328,328,619,505,Partial,114
329,329,429,429,Paid,0
330,330,65,0,Unpaid,65
331,331,900,900,Paid,0
332,332,732,20,Partial,712
333,333,624,624,Paid,0
334,334,304,0,Unpaid,304
335,335,627,627,Paid,0
336,336,752,752,Paid,0
337,337,912,912,Paid,0
338,338,822,822,Paid,0
339,339,189,47,Partial,142
340,340,82,82,Paid,0
341,341,487,487,Paid,0
342,342,916,501,Partial,415
343,343,401,401,Paid,0
344,344,432,432,Paid,0
345,345,854,638,Partial,216
346,346,98,98,Paid,0
347,347,885,885,Paid,0
348,348,346,346,Paid,0
349,349,663,663,Paid,0
350,350,148,148,Paid,0
351,351,633,633,Paid,0
352,352,252,75,Partial,177
353,353,435,435,Paid,0
354,354,181,181,Paid,0
355,355,476,476,Paid,0
356,356,408,408,Paid,0
357,357,431,431,Paid,0
358,358,647,647,Paid,0
359,359,80,80,Paid,0
360,360,59,59,Paid,0
361,361,580,580,Paid,0
362,362,66,66,Paid,0
363,363,702,702,Paid,0
364,364,789,789,Paid,0
365,365,174,174,Paid,0
366,366,141,141,Paid,0
367,367,771,771,Paid,0
368,368,306,22,Partial,284
369,369,465,465,Paid,0
370,370,665,0,Unpaid,665
371,371,184,75,Partial,109
372,372,512,0,Unpaid,512
373,373,860,0,Unpaid,860
374,374,444,444,Paid,0
375,375,512,512,Paid,0
376,376,746,746,Paid,0
377,377,773,773,Paid,0
378,378,248,248,Paid,0
379,379,570,570,Paid,0
380,380,419,419,Paid,0
381,381,901,901,Paid,0
382,382,371,0,Unpaid,371
383,383,162,162,Paid,0
384,384,167,167,Paid,0
385,385,123,123,Paid,0
386,386,908,908,Paid,0
387,387,302,302,Paid,0
388,388,345,345,Paid,0
389,389,67,67,Paid,0
390,390,896,896,Paid,0
391,391,914,914,Paid,0
392,392,974,0,Unpaid,974
393,393,308,308,Paid,0
394,394,754,754,Paid,0
395,395,607,607,Paid,0
396,396,557,130,Partial,427
397,397,155,61,Partial,94
398,398,850,850,Paid,0
399,399,494,494,Paid,0
400,400,817,0,Unpaid,817
401,401,561,561,Paid,0
402,402,497,497,Paid,0
403,403,658,658,Paid,0
404,404,249,249,Paid,0
405,405,706,706,Paid,0
406,406,382,0,Unpaid,382
407,407,362,362,Paid,0
408,408,675,0,Unpaid,675
409,409,939,939,Paid,0
410,410,247,247,Paid,0
411,411,746,746,Paid,0
412,412,811,0,Unpaid,811
413,413,127,127,Paid,0
414,414,127,127,Paid,0
415,415,790,790,Paid,0
416,416,881,881,Paid,0
417,417,988,988,Paid,0
418,418,170,102,Partial,68
419,419,250,250,Paid,0
420,420,392,135,Partial,257
421,421,517,517,Paid,0
422,422,798,0,Unpaid,798
423,423,111,0,Unpaid,111
424,424,717,138,Partial,579
425,425,967,967,Paid,0
426,426,539,539,Paid,0
427,427,118,58,Partial,60
428,428,339,339,Paid,0
429,429,440,440,Paid,0
430,430,79,12,Partial,67
431,431,570,570,Paid,0
432,432,202,75,Partial,127
433,433,188,188,Paid,0
434,434,698,698,Paid,0
435,435,607,607,Paid,0
436,436,985,985,Paid,0
437,437,583,583,Paid,0
438,438,639,639,Paid,0
439,439,954,954,Paid,0
440,440,660,562,Partial,98
441,441,483,483,Paid,0
442,442,168,168,Paid,0
443,443,766,766,Paid,0
444,444,637,637,Paid,0
445,445,635,635,Paid,0
446,446,665,665,Paid,0
447,447,921,921,Paid,0
448,448,407,0,Unpaid,407
449,449,802,802,Paid,0
450,450,836,747,Partial,89
451,451,806,806,Paid,0
452,452,321,205,Partial,116
453,453,584,584,Paid,0
454,454,947,701,Partial,246
455,455,893,893,Paid,0
456,456,831,0,Unpaid,831
457,457,99,20,Partial,79
458,458,954,954,Paid,0
459,459,505,505,Paid,0
460,460,221,221,Paid,0
461,461,831,831,Paid,0
462,462,978,978,Paid,0
463,463,111,111,Paid,0
464,464,609,609,Paid,0
465,465,928,928,Paid,0
466,466,609,609,Paid,0
467,467,648,648,Paid,0
468,468,384,384,Paid,0
469,469,709,709,Paid,0
470,470,100,100,Paid,0
471,471,869,869,Paid,0
472,472,416,416,Paid,0
473,473,772,483,Partial,289
474,474,235,235,Paid,0
475,475,271,271,Paid,0
476,476,106,0,Unpaid,106
477,477,118,118,Paid,0
478,478,508,508,Paid,0
479,479,636,636,Paid,0
480,480,315,69,Partial,246
481,481,92,92,Paid,0
482,482,89,89,Paid,0
483,483,177,177,Paid,0
484,484,740,740,Paid,0
485,485,131,32,Partial,99
486,486,683,363,Partial,320
487,487,965,856,Partial,109
488,488,962,319,Partial,643
489,489,223,223,Paid,0
490,490,641,641,Paid,0
491,491,211,211,Paid,0
492,492,803,107,Partial,696
493,493,341,341,Paid,0
494,494,789,288,Partial,501
495,495,674,674,Paid,0
496,496,196,196,Paid,0
497,497,742,742,Paid,0
498,498,610,610,Paid,0
499,499,512,19,Partial,493
500,500,900,900,Paid,0
501,501,730,730,Paid,0
502,502,927,927,Paid,0
503,503,762,225,Partial,537
504,504,356,356,Paid,0
505,505,706,706,Paid,0
506,506,589,589,Paid,0
507,507,632,121,Partial,511
508,508,758,758,Paid,0
509,509,859,859,Paid,0
510,510,239,239,Paid,0
511,511,709,187,Partial,522
512,512,531,531,Paid,0
513,513,394,394,Paid,0
514,514,191,191,Paid,0
515,515,398,398,Paid,0
516,516,973,973,Paid,0
517,517,993,993,Paid,0
518,518,640,640,Paid,0
519,519,632,632,Paid,0
520,520,584,584,Paid,0
521,521,136,136,Paid,0
522,522,588,588,Paid,0
523,523,333,234,Partial,99
524,524,373,373,Paid,0
525,525,406,406,Paid,0
526,526,570,570,Paid,0
527,527,814,814,Paid,0
528,528,420,1,Partial,419
529,529,906,906,Paid,0
530,530,867,867,Paid,0
531,531,877,877,Paid,0
532,532,880,880,Paid,0
533,533,369,0,Unpaid,369
534,534,102,102,Paid,0
535,535,589,378,Partial,211
536,536,91,32,Partial,59
537,537,681,681,Paid,0
538,538,663,663,Paid,0
539,539,798,798,Paid,0
540,540,612,612,Paid,0
541,541,942,942,Paid,0
542,542,767,767,Paid,0
543,543,156,156,Paid,0
544,544,686,0,Unpaid,686
545,545,903,636,Partial,267
546,546,128,128,Paid,0
547,547,784,784,Paid,0
548,548,57,57,Paid,0
549,549,932,36,Partial,896
550,550,477,477,Paid,0
551,551,499,397,Partial,102
552,552,845,845,Paid,0
553,553,497,497,Paid,0
554,554,470,470,Paid,0
555,555,887,887,Paid,0
556,556,395,395,Paid,0
557,557,308,308,Paid,0
558,558,107,107,Paid,0
559,559,119,0,Unpaid,119
560,560,532,532,Paid,0
561,561,983,983,Paid,0
562,562,81,81,Paid,0
563,563,782,8,Partial,774
564,564,582,582,Paid,0
565,565,522,522,Paid,0
566,566,618,618,Paid,0
567,567,452,452,Paid,0
568,568,821,821,Paid,0
569,569,623,623,Paid,0
570,570,233,233,Paid,0
571,571,777,777,Paid,0
572,572,565,565,Paid,0
573,573,587,587,Paid,0
574,574,633,633,Paid,0
575,575,336,49,Partial,287
576,576,407,407,Paid,0
577,577,895,895,Paid,0
578,578,182,182,Paid,0
579,579,879,879,Paid,0
580,580,915,915,Paid,0
581,581,107,107,Paid,0
582,582,259,259,Paid,0
583,583,227,227,Paid,0
584,584,159,159,Paid,0
585,585,883,163,Partial,720
586,586,417,417,Paid,0
587,587,549,549,Paid,0
588,588,153,0,Unpaid,153
589,589,906,906,Paid,0
590,590,480,480,Paid,0
591,591,723,723,Paid,0
592,592,731,632,Partial,99
593,593,292,292,Paid,0
594,594,278,278,Paid,0
595,595,751,751,Paid,0
596,596,226,226,Paid,0
597,597,628,628,Paid,0
598,598,577,577,Paid,0
599,599,808,508,Partial,300
600,600,837,0,Unpaid,837
601,601,584,176,Partial,408
602,602,403,146,Partial,257
603,603,83,83,Paid,0
604,604,621,346,Partial,275
605,605,790,0,Unpaid,790
606,606,667,667,Paid,0
607,607,370,370,Paid,0
608,608,995,995,Paid,0
609,609,721,0,Unpaid,721
610,610,123,123,Paid,0
611,611,980,980,Paid,0
612,612,248,248,Paid,0
613,613,721,721,Paid,0
614,614,530,530,Paid,0
615,615,991,991,Paid,0
616,616,363,161,Partial,202
617,617,521,521,Paid,0
618,618,547,547,Paid,0
619,619,443,443,Paid,0
620,620,653,653,Paid,0
621,621,107,107,Paid,0
622,622,465,149,Partial,316
623,623,294,20,Partial,274
624,624,942,942,Paid,0
625,625,628,628,Paid,0
626,626,310,310,Paid,0
627,627,128,128,Paid,0
628,628,212,212,Paid,0
629,629,798,0,Unpaid,798
630,630,910,910,Paid,0
631,631,950,950,Paid,0
632,632,227,227,Paid,0
633,633,263,263,Paid,0
634,634,58,3,Partial,55
635,635,50,50,Paid,0
636,636,494,494,Paid,0
637,637,252,252,Paid,0
638,638,113,113,Paid,0
639,639,209,209,Paid,0
640,640,531,531,Paid,0
641,641,512,0,Unpaid,512
642,642,900,900,Paid,0
643,643,690,690,Paid,0
644,644,285,285,Paid,0
645,645,690,545,Partial,145
646,646,888,888,Paid,0
647,647,913,913,Paid,0
648,648,366,366,Paid,0
649,649,697,520,Partial,177
650,650,213,213,Paid,0
651,651,700,700,Paid,0
652,652,288,288,Paid,0
653,653,301,301,Paid,0
654,654,151,151,Paid,0
655,655,854,854,Paid,0
656,656,936,936,Paid,0
657,657,943,943,Paid,0
658,658,198,198,Paid,0
659,659,542,172,Partial,370
660,660,226,226,Paid,0
661,661,804,804,Paid,0
662,662,218,218,Paid,0
663,663,741,0,Unpaid,741
664,664,398,398,Paid,0
665,665,430,430,Paid,0
666,666,1000,1000,Paid,0
667,667,137,137,Paid,0
668,668,718,718,Paid,0
669,669,639,639,Paid,0
670,670,561,0,Unpaid,561
671,671,832,832,Paid,0
672,672,925,925,Paid,0
673,673,350,350,Paid,0
674,674,796,796,Paid,0
675,675,998,998,Paid,0
676,676,560,560,Paid,0
677,677,951,951,Paid,0
678,678,878,878,Paid,0
679,679,339,168,Partial,171
680,680,363,363,Paid,0
681,681,588,588,Paid,0
682,682,240,240,Paid,0
683,683,169,0,Unpaid,169
684,684,303,303,Paid,0
685,685,908,908,Paid,0
686,686,791,404,Partial,387
687,687,879,879,Paid,0
688,688,323,0,Unpaid,323
689,689,689,689,Paid,0
690,690,247,0,Unpaid,247
691,691,362,362,Paid,0
692,692,363,363,Paid,0
693,693,279,0,Unpaid,279
694,694,857,857,Paid,0
695,695,767,767,Paid,0
696,696,659,659,Paid,0
697,697,113,113,Paid,0
698,698,252,252,Paid,0
699,699,447,447,Paid,0
700,700,50,0,Unpaid,50
701,701,90,90,Paid,0
702,702,410,410,Paid,0
703,703,766,0,Unpaid,766
704,704,562,562,Paid,0
705,705,766,766,Paid,0
706,706,292,112,Partial,180
707,707,903,903,Paid,0
708,708,212,212,Paid,0
709,709,161,161,Paid,0
710,710,308,308,Paid,0
711,711,464,464,Paid,0
712,712,445,0,Unpaid,445
713,713,455,455,Paid,0
714,714,601,371,Partial,230
715,715,831,524,Partial,307
716,716,856,856,Paid,0
717,717,636,636,Paid,0
718,718,591,591,Paid,0
719,719,987,987,Paid,0
720,720,891,891,Paid,0
721,721,946,946,Paid,0
722,722,571,142,Partial,429
723,723,952,952,Paid,0
724,724,196,196,Paid,0
725,725,110,110,Paid,0
726,726,890,890,Paid,0
727,727,377,203,Partial,174
728,728,915,915,Paid,0
729,729,862,862,Paid,0
730,730,764,764,Paid,0
731,731,582,582,Paid,0
732,732,89,89,Paid,0
733,733,534,534,Paid,0
734,734,617,617,Paid,0
735,735,308,308,Paid,0
736,736,179,179,Paid,0
737,737,472,175,Partial,297
738,738,216,216,Paid,0
739,739,618,0,Unpaid,618
740,740,915,915,Paid,0
741,741,587,587,Paid,0
742,742,229,229,Paid,0
743,743,602,602,Paid,0
744,744,738,738,Paid,0
745,745,765,0,Unpaid,765
746,746,804,804,Paid,0
747,747,247,49,Partial,198
748,748,805,805,Paid,0
749,749,115,115,Paid,0
750,750,243,243,Paid,0
751,751,147,147,Paid,0
752,752,137,137,Paid,0
753,753,379,379,Paid,0
754,754,115,115,Paid,0
755,755,339,339,Paid,0
756,756,840,840,Paid,0
757,757,601,0,Unpaid,601
758,758,960,960,Paid,0
759,759,892,892,Paid,0
760,760,251,251,Paid,0
761,761,450,450,Paid,0
762,762,519,205,Partial,314
763,763,405,405,Paid,0
764,764,849,849,Paid,0
765,765,401,401,Paid,0
766,766,152,152,Paid,0
767,767,403,403,Paid,0
768,768,898,898,Paid,0
769,769,771,771,Paid,0
770,770,83,83,Paid,0
771,771,765,765,Paid,0
772,772,646,646,Paid,0
773,773,925,925,Paid,0
774,774,421,421,Paid,0
775,775,475,475,Paid,0
776,776,913,913,Paid,0
777,777,663,663,Paid,0
778,778,72,72,Paid,0
779,779,160,160,Paid,0
780,780,88,88,Paid,0
781,781,296,296,Paid,0
782,782,457,457,Paid,0
783,783,156,156,Paid,0
784,784,638,638,Paid,0
785,785,226,226,Paid,0
786,786,930,930,Paid,0
787,787,640,640,Paid,0
788,788,364,364,Paid,0
789,789,832,832,Paid,0
790,790,629,0,Unpaid,629
791,791,327,12,Partial,315
792,792,127,127,Paid,0
793,793,513,513,Paid,0
794,794,209,209,Paid,0
795,795,58,58,Paid,0
796,796,677,677,Paid,0
797,797,189,30,Partial,159
798,798,150,150,Paid,0
799,799,565,63,Partial,502
800,800,833,0,Unpaid,833
801,801,823,100,Partial,723
802,802,382,382,Paid,0
803,803,570,570,Paid,0
804,804,476,476,Paid,0
805,805,444,444,Paid,0
806,806,337,337,Paid,0
807,807,553,553,Paid,0
808,808,430,0,Unpaid,430
809,809,981,981,Paid,0
810,810,926,926,Paid,0
811,811,507,507,Paid,0
812,812,134,134,Paid,0
813,813,402,402,Paid,0
814,814,241,241,Paid,0
815,815,72,0,Unpaid,72
816,816,110,110,Paid,0
817,817,454,454,Paid,0
818,818,736,736,Paid,0
819,819,880,880,Paid,0
820,820,655,655,Paid,0
821,821,604,604,Paid,0
822,822,409,409,Paid,0
823,823,120,120,Paid,0
824,824,104,104,Paid,0
825,825,956,0,Unpaid,956
826,826,604,604,Paid,0
827,827,299,113,Partial,186
828,828,146,146,Paid,0
829,829,264,0,Unpaid,264
830,830,198,198,Paid,0
831,831,594,594,Paid,0
832,832,270,164,Partial,106
833,833,428,428,Paid,0
834,834,896,896,Paid,0
835,835,480,480,Paid,0
836,836,253,253,Paid,0
837,837,203,203,Paid,0
838,838,366,282,Partial,84
839,839,662,662,Paid,0
840,840,285,285,Paid,0
841,841,985,0,Unpaid,985
842,842,333,333,Paid,0
843,843,303,303,Paid,0
844,844,790,790,Paid,0
845,845,119,119,Paid,0
846,846,928,928,Paid,0
847,847,871,871,Paid,0
848,848,462,462,Paid,0
849,849,678,678,Paid,0
850,850,654,105,Partial,549
851,851,179,179,Paid,0
852,852,537,537,Paid,0
853,853,186,186,Paid,0
854,854,791,791,Paid,0
855,855,96,96,Paid,0
856,856,127,17,Partial,110
857,857,136,136,Paid,0
858,858,837,837,Paid,0
859,859,981,981,Paid,0
860,860,326,326,Paid,0
861,861,587,587,Paid,0
862,862,134,134,Paid,0
863,863,897,830,Partial,67
864,864,322,322,Paid,0
865,865,639,0,Unpaid,639
866,866,900,900,Paid,0
867,867,805,0,Unpaid,805
868,868,347,347,Paid,0
869,869,129,129,Paid,0
870,870,516,516,Paid,0
871,871,997,997,Paid,0
872,872,444,0,Unpaid,444
873,873,511,511,Paid,0
874,874,671,0,Unpaid,671
875,875,961,961,Paid,0
876,876,607,607,Paid,0
877,877,157,157,Paid,0
878,878,130,50,Partial,80
879,879,779,779,Paid,0
880,880,388,388,Paid,0
881,881,949,949,Paid,0
882,882,827,137,Partial,690
883,883,113,113,Paid,0
884,884,476,0,Unpaid,476
885,885,430,231,Partial,199
886,886,612,612,Paid,0
887,887,145,145,Paid,0
888,888,97,97,Paid,0
889,889,116,59,Partial,57
890,890,915,915,Paid,0
891,891,824,824,Paid,0
892,892,511,316,Partial,195
893,893,317,317,Paid,0
894,894,301,0,Unpaid,301
895,895,759,759,Paid,0
896,896,645,240,Partial,405
897,897,345,345,Paid,0
898,898,186,101,Partial,85
899,899,152,152,Paid,0
900,900,902,902,Paid,0
901,901,591,591,Paid,0
902,902,260,260,Paid,0
903,903,354,354,Paid,0
904,904,214,214,Paid,0
905,905,64,64,Paid,0
906,906,91,91,Paid,0
907,907,790,790,Paid,0
908,908,130,50,Partial,80
909,909,88,88,Paid,0
910,910,61,61,Paid,0
911,911,350,350,Paid,0
912,912,961,961,Paid,0
913,913,298,298,Paid,0
914,914,443,443,Paid,0
915,915,161,161,Paid,0
916,916,117,117,Paid,0
917,917,85,85,Paid,0
918,918,710,710,Paid,0
919,919,439,439,Paid,0
920,920,799,799,Paid,0
921,921,394,0,Unpaid,394
922,922,312,312,Paid,0
923,923,386,0,Unpaid,386
924,924,846,846,Paid,0
925,925,486,486,Paid,0
926,926,752,111,Partial,641
927,927,772,297,Partial,475
928,928,212,212,Paid,0
929,929,229,229,Paid,0
930,930,869,869,Paid,0
931,931,685,685,Paid,0
932,932,203,203,Paid,0
933,933,382,382,Paid,0
934,934,537,0,Unpaid,537
935,935,814,814,Paid,0
936,936,464,464,Paid,0
937,937,159,159,Paid,0
938,938,788,788,Paid,0
939,939,726,0,Unpaid,726
940,940,463,463,Paid,0
941,941,665,0,Unpaid,665
942,942,593,0,Unpaid,593
943,943,288,288,Paid,0
944,944,772,772,Paid,0
945,945,590,590,Paid,0
946,946,172,172,Paid,0
947,947,657,657,Paid,0
948,948,760,0,Unpaid,760
949,949,105,105,Paid,0
950,950,853,853,Paid,0
951,951,837,837,Paid,0
952,952,401,401,Paid,0
953,953,653,0,Unpaid,653
954,954,314,0,Unpaid,314
955,955,753,753,Paid,0
956,956,479,479,Paid,0
957,957,509,509,Paid,0
958,958,988,988,Paid,0
959,959,752,752,Paid,0
960,960,930,930,Paid,0
961,961,138,9,Partial,129
962,962,521,521,Paid,0
963,963,746,746,Paid,0
964,964,753,753,Paid,0
965,965,689,689,Paid,0
966,966,359,359,Paid,0
967,967,326,326,Paid,0
968,968,50,50,Paid,0
969,969,802,802,Paid,0
970,970,194,194,Paid,0
971,971,465,465,Paid,0
972,972,882,882,Paid,0
973,973,67,67,Paid,0
974,974,677,677,Paid,0
975,975,762,762,Paid,0
976,976,107,107,Paid,0
977,977,51,51,Paid,0
978,978,892,892,Paid,0
979,979,61,61,Paid,0
980,980,513,513,Paid,0
